
Rank;Global Rank;Institution;Country;Sector
1;4;Harvard University *;USA;Higher educ.
2;5;Harvard Medical School;USA;Higher educ.
3;8;Massachusetts Institute of Technology *;USA;Higher educ.
4;9;Stanford University *;USA;Higher educ.
5;12;Johns Hopkins University *;USA;Higher educ.
6;13;Tsinghua University *;CHN;Higher educ.
7;14;University of Oxford;GBR;Higher educ.
8;17;University of Michigan, Ann Arbor *;USA;Higher educ.
9;18;University College London;GBR;Higher educ.
10;19;University of Washington *;USA;Higher educ.
11;20;University of Toronto;CAN;Higher educ.
12;23;University of Pennsylvania *;USA;Higher educ.
13;25;The University of Hong Kong *;HKG;Higher educ.
14;27;University of California, Los Angeles *;USA;Higher educ.
15;28;Peking University *;CHN;Higher educ.
16;29;Zhejiang University *;CHN;Higher educ.
17;30;Shanghai Jiao Tong University *;CHN;Higher educ.
18;32;University of Cambridge *;GBR;Higher educ.
19;33;Columbia University *;USA;Higher educ.
20;34;University of California, San Diego *;USA;Higher educ.
21;38;University of California, Berkeley *;USA;Higher educ.
22;39;Cornell University *;USA;Higher educ.
23;41;University of California, San Francisco *;USA;Higher educ.
24;42;University of Tokyo *;JPN;Higher educ.
25;44;Yale University *;USA;Higher educ.
26;45;Imperial College London;GBR;Higher educ.
27;46;National University of Singapore *;SGP;Higher educ.
28;47;Duke University *;USA;Higher educ.
29;49;Universidade de Sao Paulo;BRA;Higher educ.
30;51;University of Wisconsin, Madison *;USA;Higher educ.
31;52;University of Melbourne;AUS;Higher educ.
32;53;University of Minnesota, Twin Cities *;USA;Higher educ.
33;54;University of Sydney;AUS;Higher educ.
34;55;Swiss Federal Institute of Technology;CHE;Higher educ.
35;57;Northwestern University, Evanston *;USA;Higher educ.
36;58;University of North Carolina, Chapel Hill *;USA;Higher educ.
37;59;Graduate University of the Chinese Academy of Sciences;CHN;Higher educ.
38;63;University of Maryland, Baltimore;USA;Higher educ.
39;64;The University of British Columbia;CAN;Higher educ.
40;66;New York University *;USA;Higher educ.
41;67;The University of Queensland *;AUS;Higher educ.
42;69;Seoul National University *;KOR;Higher educ.
43;72;Catholic University of Leuven;BEL;Higher educ.
44;73;University of Pittsburgh *;USA;Higher educ.
45;74;Ohio State University, Columbus *;USA;Higher educ.
46;75;University of Copenhagen;DNK;Higher educ.
47;79;Monash University, Melbourne *;AUS;Higher educ.
48;80;University of California, Davis *;USA;Higher educ.
49;81;Utrecht University *;NLD;Higher educ.
50;82;Nanyang Technological University *;SGP;Higher educ.
51;83;University of Southern California *;USA;Higher educ.
51;83;University of Chicago *;USA;Higher educ.
52;86;Pennsylvania State University *;USA;Higher educ.
53;87;University of Florida *;USA;Higher educ.
54;88;University of Amsterdam *;NLD;Higher educ.
55;89;Washington University in Saint Louis *;USA;Higher educ.
56;90;University of Illinois at Urbana-Champaign;USA;Higher educ.
57;91;Fudan University *;CHN;Higher educ.
58;92;Kings College London;GBR;Higher educ.
59;93;The University of Manchester;GBR;Higher educ.
60;94;University of Texas, Austin;USA;Higher educ.
61;96;The University of Edinburgh *;GBR;Higher educ.
