,,,,,,,,,RESOURCES AVAILABLE,,,,,,,,
Company,Visit Sitet Link,Research Area,Innovation,Headline,Summary,RFP Overview,Criteria,Not of Interest,Details of Resources,Funding,Compounds / Reagents,Tools / Technologies,Mentorship / Expertise,Lab Space,Duration,Deadline,Company Overview
Abbvie,https://www.abbvie.com/partnerships/areas-of-interest.html,Neuroscience,"Small Molecules, Biologics, Biomarkers, Targets
",Diseases that share proteinopathy mechanisms with Alzheimer's and Parkinson's,"Abbvie is seeking proposals related to tauopathies (e.g. progressive supranuclear palsy), synucleinopathies (e.g. dementia with Lewy bodies), TDP43 (e.g. amyotrophic lateral sclerosis) and frontotemporal dementia","Our current research focuses on developing therapies for neurodegenerative diseases by targeting mechanisms that prevent neurodegeneration and promote neuroprotection. We are interested in drug targets, early and late stage assets, biomarkers and technologies. For assets, we prioritize first-in-class, or those that are clearly differentiated as superior compared to existing therapies. ",,,,,,,Yes,,,,
Abbvie,https://www.abbvie.com/partnerships/areas-of-interest.html,Neuroscience,"Small Molecules, Biologics, Biomarkers, Targets
",Proteostasis and mitochondrial dysfunction in Parkinson's disease,"Abbvie is seeking proposals related to a-synuclein-based approaches, mechanisms/targets underlying proteostasis and mitochondrial dysfunction in Parkinson's disease","Our current research focuses on developing therapies for neurodegenerative diseases by targeting mechanisms that prevent neurodegeneration and promote neuroprotection. We  are interested in drug targets, early and late stage assets, biomarkers and technologies. For assets, we prioritize first-in-class, or those that are clearly differentiated as superior compared to existing therapies. ",,,,,,,Yes,,,,
Abbvie,https://www.abbvie.com/partnerships/areas-of-interest.html,Neuroscience,"Small Molecules, Biologics, Biomarkers, Targets
",Proteostasis in Alzheimer's disease,"Abbvie is seeking proposals related to tau biology, neuroimmunology with an emphasis on microglial biology, synaptic resilience and function, and mechanisms or targets underlying proteostasis in Alzheimer's disease","Our current research focuses on developing therapies for neurodegenerative diseases by targeting mechanisms that prevent neurodegeneration and promote neuroprotection. We are interested in drug targets, early and late stage assets, biomarkers and technologies. For assets, we prioritize first-in-class, or those that are clearly differentiated as superior compared to existing therapies. ",,,,,,,Yes,,,,
Abbvie,https://www.abbvie.com/partnerships/areas-of-interest.html,Neuroscience,"Small Molecules, Biologics, Biomarkers, Targets
",Neuro-regeneration in multiple sclerosis,Abbvie is seeking proposals related to novel neuro-regeneration and neuroprotection approaches and assets in multiple sclerosis,"Our current research focuses on developing therapies for neurodegenerative diseases by targeting mechanisms that prevent neurodegeneration and promote neuroprotection. We  are interested in drug targets, early and late stage assets, biomarkers and technologies. For assets, we prioritize first-in-class, or those that are clearly differentiated as superior compared to existing therapies. ",,,,,,,Yes,,,,
Abbvie,https://www.abbvie.com/partnerships/areas-of-interest.html,Neuroscience,Screening Technique,Biomarker identification and quantification,"Abbvie is seeking proposals related to the identification of disease-specific, diagnostic, prognostic and progression biomarkers. Validated assays for assessing serum and cerebrospinal fluid biomarker levels are also of interest. ","Our current research focuses on developing therapies for neurodegenerative diseases by targeting mechanisms that prevent neurodegeneration and promote neuroprotection. We  are interested in drug targets, early and late stage assets, biomarkers and technologies. For assets, we prioritize first-in-class, or those that are clearly differentiated as superior compared to existing therapies. ",,,,,,,Yes,,,,
Abbvie,https://www.abbvie.com/partnerships/areas-of-interest.html,Neuroscience,Diagnostics,Estimating CNS target engagement,"Abbvie is seeking imaging tools, ligands and related techniques that allow estimation of target engagement in the brain","Our current research focuses on developing therapies for neurodegenerative diseases by targeting mechanisms that prevent neurodegeneration and promote neuroprotection. We  are interested in drug targets, early and late stage assets, biomarkers and technologies. For assets, we prioritize first-in-class, or those that are clearly differentiated as superior compared to existing therapies. ",,,,,,,Yes,,,,
Abbvie,https://www.abbvie.com/partnerships/areas-of-interest.html,Neuroscience,Digital therapeutics and devices,Wearable technologies for clinical trial assessments,Abbvie is interested in wearable technologies that can enable better assessment of relevant parameters in clinical trials,"Our current research focuses on developing therapies for neurodegenerative diseases by targeting mechanisms that prevent neurodegeneration and promote neuroprotection. We  are interested in drug targets, early and late stage assets, biomarkers and technologies. For assets, we prioritize first-in-class, or those that are clearly differentiated as superior compared to existing therapies. ",,,,,,,Yes,,,,
Abbvie,https://www.abbvie.com/partnerships/areas-of-interest.html,Neuroscience,Drug delivery mechanisms,Transferring biologics across the blood-brain barrier,Abbvie is interested in technologies that facilitate or enhance the transfer of biologics across the blood-brain barrieir,"Our current research focuses on developing therapies for neurodegenerative diseases by targeting mechanisms that prevent neurodegeneration and promote neuroprotection. We  are interested in drug targets, early and late stage assets, biomarkers and technologies. For assets, we prioritize first-in-class, or those that are clearly differentiated as superior compared to existing therapies. ",,,,,,,Yes,,,,
Abbvie,https://www.abbvie.com/partnerships/areas-of-interest.html,Neuroscience,Animal models,Disease models for neurodegenerative diseases,Abbvie is seeking novel preclinical disease models relevant to neurodegenerative diseases,"Our current research focuses on developing therapies for neurodegenerative diseases by targeting mechanisms that prevent neurodegeneration and promote neuroprotection. We  are interested in drug targets, early and late stage assets, biomarkers and technologies. For assets, we prioritize first-in-class, or those that are clearly differentiated as superior compared to existing therapies. ",,,,,,,Yes,,,,
Sanofi,https://www.sanofi.com/en/science-and-innovation/research-and-development,Neuroscience,"Small Molecules, Biologics, Biomarkers, Targets

",Immunomodulation in multiple sclerosis,"Sanofi is interested in differentiated drug candidates targeting lymphocytes with novel mechanisms of action, higher efficacy and improved safety","Debilitating neurodegenerative diseases of the central nervous system, including Multiple Sclerosis, Parkinsons's disease, Amyotrophic Lateral Sclerosis (ALS) and Huntington's Disease, represent significant unmet medical needs around the globe. We are committed to slowing or halting neurodegeneration, modulating neuroinflammation and facilitating neuroprotection, repair and remyelination",,,,,,,Yes,,,,
Sanofi,https://www.sanofi.com/en/science-and-innovation/research-and-development,Neuroscience,"Small Molecules, Biologics, Biomarkers, Targets

",Neuroinflammation in multiple sclerosis,"Sanofi is interested in drug candidates targeting CNS inflammatory milieu, including microglia and astrocytes","Debilitating neurodegenerative diseases of the central nervous system, including Multiple Sclerosis, Parkinsons's disease, Amyotrophic Lateral Sclerosis (ALS) and Huntington's Disease, represent significant unmet medical needs around the globe. We are committed to slowing or halting neurodegeneration, modulating neuroinflammation and facilitating neuroprotection, repair and remyelination",,,,,,,Yes,,,,
