Abbvie,Neuroscience,"Small Molecules, Biologics, Biomarkers, Targets, Pathways",Alzheimer's Disease,"Abbvie is seeking proposals related to tau biology, neuroimmunology with an emphasis on microglial biology, synaptic resilience and function, and mechanisms or targets underlying proteostasis in Alzheimer's disease","Our current research focuses on developing therapies for neurodegenerative diseases by targeting mechanisms that prevent neurodegeneration and promote neuroprotection. We are interested in drug targets, early and late stage assets, biomarkers and technologies. For assets, we prioritize first-in-class, or those that are clearly differentiated as superior compared to existing therapies. ",,,X,X,X,X,X,X,Grants,"Abbvie plans to award a total of approximately $5,000,000 in funds for these research proposals, dependent upon availability of funds and receipt of meritorious applications. Gilead anticipates that 6- 10 awards will be granted. Any proposal greater than $500,000 should be discussed with your Gilead Medical Scientist prior to submission.
",24-Dec-19
Abbvie,Neuroscience,Animal models,Disease models for neurodegenerative diseases,Abbvie is seeking novel preclinical disease models relevant to neurodegenerative diseases,"Our current research focuses on developing therapies for neurodegenerative diseases by targeting mechanisms that prevent neurodegeneration and promote neuroprotection. We  are interested in drug targets, early and late stage assets, biomarkers and technologies. For assets, we prioritize first-in-class, or those that are clearly differentiated as superior compared to existing therapies. ",,"Pre-clinical validation of potential therapeutic targets****Solid link between target and the etiopathogenesis and/or progression of a disease****Strong potential for clinical impact****Innovative experimental models developed to
support the research",X,X,X,X,X,X,Grants,"Abbvie plans to award a total of approximately $5,000,000 in funds for these research proposals, dependent upon availability of funds and receipt of meritorious applications. Gilead anticipates that 6- 10 awards will be granted. Any proposal greater than $500,000 should be discussed with your Gilead Medical Scientist prior to submission.
",25-Dec-19
Sanofi,Neuroscience,"Small Molecules, Biologics, Biomarkers, Targets, Pathways

",Immunomodulation in multiple sclerosis,"Sanofi is interested in differentiated drug candidates targeting lymphocytes with novel mechanisms of action, higher efficacy and improved safety","Debilitating neurodegenerative diseases of the central nervous system, including Multiple Sclerosis, Parkinsons's disease, Amyotrophic Lateral Sclerosis (ALS) and Huntington's Disease, represent significant unmet medical need around the globe. We are committed to slowing or halting neurodegeneration, modulating neuroinflammation and facilitating neuroprotection, repair and remyelination","Pre-clinical validation of potential therapeutic targets****Solid link between target and the etiopathogenesis and/or progression of a disease****Strong potential for clinical impact****Innovative experimental models developed to
support the research",,X,,,X,X,X,,"Abbvie plans to award a total of approximately $5,000,000 in funds for these research proposals, dependent upon availability of funds and receipt of meritorious applications. Gilead anticipates that 6- 10 awards will be granted. Any proposal greater than $500,000 should be discussed with your Gilead Medical Scientist prior to submission.
",26-Dec-19
AstraZeneca,Neuroscience,Repurposing,New indications for Lanicemine,"AstraZeneca is seeking new indications other than Depressive Disorders for lanicemine, a N-methyl-D-aspartate (NMDA) receptor, low-trapping, open-channel blocker","We continue to push the boundaries in neuroscience. Our IMED Neuroscience team focuses on the discovery and development of new treatments for neurological and psychiatric disorders as well as chronic pain, across small molecules, biologics and new modalities such as PROTACs and ASOs.","Pre-clinical validation of potential therapeutic targets****Solid link between target and the etiopathogenesis and/or progression of a disease****Strong potential for clinical impact****Innovative experimental models developed to
support the research",,,,,X,X,,,We'll provide reagents and compounds,27-Dec-19
AstraZeneca,Neuroscience,Mechanism of Action,Mechanism of action underlying naloxegol,AstraZeneca is seeking proposals that contribute to the understanding of mechanism of action underlying naloxegol (brand name Movantik/Moventig) ,"We continue to push the boundaries in neuroscience. Our IMED Neuroscience team focuses on the discovery and development of new treatments for neurological and psychiatric disorders as well as chronic pain, across small molecules, biologics and new modalities such as PROTACs and ASOs.","Pre-clinical validation of potential therapeutic targets****Solid link between target and the etiopathogenesis and/or progression of a disease****Strong potential for clinical impact****Innovative experimental models developed to
support the research",,X,,,X,X,,,We'll provide reagents and compounds,28-Dec-19
Eli Lilly ,Neuroscience ,"Small molecules, biologics ",Novel disease modifying theraputics for neruodegenerative diseases ,"Eli Lilly is interested in novel theraputic approaches to treat neurodegenerative diseases, with an emphasis on Alzheimer's and Parkinson's disease. The ideal proposal will be a ""disease modifying theraputic"", meaning it targets the underlying mechanism of disease progression.","The discovery of new medicines is about being relentless. You will gain access to Lilly development team with decases of experience dedicated to exploring every avenue necessary. We never stop searching for novel medicines, new ways to address unmet medical needs, and  treatments that generate better outcomes. It's all done with a true sense of urgency, ensuring our medicines reach patients as soon as possible. ","Pre-clinical validation of potential therapeutic targets****Solid link between target and the etiopathogenesis and/or progression of a disease****Strong potential for clinical impact****Innovative experimental models developed to
support the research",Therapeutics that only target disease symptoms and not underlying pathophysiology ,,X,,,,,,We'll provide reagents and compounds,29-Dec-19
Eli Lilly ,Neuroscience ,"Small molecules, biologics",Novel approaches of migrane prevention,Eli Lilly is interested in novel migrane prevention therapies. ,"The discovery of new medicines is about being relentless. You will gain access to Lilly development team with decases of experience dedicated to exploring every avenue necessary. We never stop searching for novel medicines, new ways to address unmet medical needs, and  treatments that generate better outcomes. It's all done with a true sense of urgency, ensuring our medicines reach patients as soon as possible. ",Proposed drugs whose efficacy cannot be quantified with biomarkers****non drug-based treatments ,,,X,,,,,,We'll provide reagents and compounds,30-Dec-19
Boehringer Ingelheim,Neuroscience ,"Biomarkers, small molecules, biologics ",Innovative drugs to modulate abarrent neural activity ,Boehringer Ingelheim is interested in novel drugs to modualte abarrent neural activity from maladaptive neurocircuits and neural networks. Proposals should include biomarkers to quantify therapeutic efficacy.   ,"The development of new treatment options for neuropsychiatric diseases is a key priority for Boehringer Ingelheim, evidenced by the innovative work in these areas of both its collaboration partners and the company's own highly experienced research and development professionals. ",,"Proposed drugs whose efficacy cannot be quantified with biomarkers, non drug-based treatments ",,X,,,,,,,31-Dec-19
Boehringer Ingelheim,Neuroscience ,"Small molecules, biologics ",Innovative therapeutics for treatment-resistant depression,Boehringer Ingelheim is interested in novel therapies for treatment-resistant depression. ,"The development of new treatment options for neuropsychiatric diseases is a key priority for Boehringer Ingelheim, evidenced by the innovative work in these areas of both its collaboration partners and the company's own highly experienced research and development professionals. ",,Therapies for depression that already responds to standard treatment ,X,X,,,,,,,1-Jan-20
Servier ,Neuroscience ,"Small molecules, biologics",Development or lisencing of novel Alzheimer's therapeutics,Servier is intersted in treatments for Alzheimer's disease. Servier is intersted in both early stage and near market therapeutics. ,"The scope and complexity of science today require an open and cooperative network between all stakeholders in research. This is why we are always actively searching for research partnerships, with academic organizations as well as other pharmaceutical groups and biotechnology companies. Choosing a partnership with us means long-term investment, via our foundation-based structure. It means choosing scientific and medical excellence with our top scientists and extensive clinical expert network. Each partnership is unique, and creates a personalized relationship. ","Novel combinations****Side effect/safety management combinations****Orphan B-cell malignancies (e.g., Hairy cell leukemia, Burkitt lymphoma, PTLD)****Earlier lines of therapy in high risk lymphoma patients (e.g., high FLIPI/GELF in FL)****B-cell mediated autoimmune disease****Novel conditioning regimens****Real world data****Translational studies characterizing mechanisms of treatment failure, including relapse, pathogenesis of treatment related toxicities, and approaches to support outpatient treatment","Studies already planned by or underway at Kite****Approved/authorized indications other than novel combinations****Combinations with: BTK inhibitors, IMiDs, checkpoint inhibitors, and anti-CD20 monoclonal antibodies****Studies of pipeline cell therapies, or malignancies being studied by Kite with pipeline therapies, B-cell mediated autoimmune disease with neurologic involvement****Changes in cell dose, PCNS lymphoma****Safety combinations with: siltuximab or anakinra****Translational research accompanying registrational trials",,X,,,,,,,2-Jan-20
