Company Name,Category,Source,Headquarters,No of Employees,Annual Revenue (US$ m),Email,URL,Phone Number,Fax,Address,City,State,Country
22nd Century Group,Health,GlobalData,United States of America,82,$26,,www.xxiicentury.com,1 716 2701523,1 716 8773064,9530 Main Street,Clarence,New York,United States of America
3SBio,Health,GlobalData,China,"5,047",$693,,www.3sbio.com,86 24 25386000,86 24 25811821,"No.3 A1, Road 10, Shenyang Economy & Technology Development Zone",Shenyang,Liaoning,China
4D Pharma,Health,GlobalData,United Kingdom,93,,info@4dpharmaplc.com,www.4dpharmaplc.com,,,9 Bond Court,Leeds,,United Kingdom
4SC,Health,GlobalData,Germany,42,$5,public@4sc.com,www.4sc.com,49 89 7007630,49 89 70076329,Fraunhoferstr. 22,Planegg,Bayern,Germany
60 Degrees Pharmaceuticals,Health,JPM,,,,,,,,,,,
A Chemicals,Health,GlobalData,China,"1,073",$179,,www.abachem.com,86 512 53641368,86 512 53642000,No. 18 Dongfang East Road,Taicang,Jiangsu,China
A&D Company,Health,GlobalData,Japan,"2,557",$398,,www.aandd.jp,81 3 53916132,81 3 53911566,3-23-14 Higashi-Ikebukuro,Tokyo City,Tokyo,Japan
A6 Pharmaceuticals,Health,JPM,,,,,,,,,,,
AB Science,Health,GlobalData,France,123,$2,contact@ab-science.com,www.ab-science.com,33 1 47200014,33 1 47202411,"3, Avenue George V",Paris,Ile-de-France,France
Abbott,Health,JPM,,,,,,,,,,,
AbbVie,Health,GlobalData,,,,,,,,,,,
ABL Bio,Health,JPM,,,,,,,,,,,
AC Immune,Health,GlobalData,Switzerland,104,$7,info@acimmune.com,www.acimmune.com,41 21 3459121,41 21 3459120,"EPFL Innovation Park, Building B",LAUSANNE,,Switzerland
Acadia Pharmaceuticals,Health,GlobalData,United States of America,465,$224,info@acadia-pharm.com,www.acadia-pharm.com,1 858 5582871,1 858 5582872,"Suite 300, 3611 Valley Centre Drive",San Diego,California,United States of America
ACADIA Pharmaceuticals ,Health,JPM,,,,,,,,,,,
Acasti Pharma,Health,GlobalData,Canada,11,,info@acastipharma.com,www.acastipharma.com,1 450 6864555,1 450 6862505,"Suite 100, 545 Promenade du Centropolis",Laval,Quebec,Canada
Acasti Pharma,Health,JPM,,,,,,,,,,,
